Transaction_ID,Partner_ID,Date,App_Used_For_Visit,Report_Upload_Method,Turnaround_Time_Hours
TXN52399,P001,09-02-2025,1,Manual_Email,41
TXN80451,P001,17-01-2025,1,Manual_Email,30
TXN57068,P001,10-03-2025,1,Digital_API,19
TXN85362,P001,25-01-2025,0,Digital_API,31
TXN77809,P001,03-01-2025,0,Digital_API,17
TXN17500,P001,02-01-2025,1,Digital_API,13
TXN88113,P001,27-01-2025,1,Manual_Email,55
TXN12885,P001,25-03-2025,1,Manual_Email,13
TXN60926,P001,02-02-2025,0,Digital_API,30
TXN38488,P001,07-02-2025,0,Manual_Email,40
TXN20557,P001,08-01-2025,0,Digital_API,27
TXN81763,P001,14-03-2025,1,Manual_Email,58
TXN10985,P001,07-03-2025,0,Manual_Email,32
TXN96015,P001,21-01-2025,1,Manual_Email,38
TXN29279,P001,18-01-2025,0,Manual_Email,52
TXN24359,P001,06-02-2025,1,Manual_Email,22
TXN57992,P001,15-02-2025,1,Digital_API,33
TXN76161,P002,08-03-2025,0,Digital_API,25
TXN77102,P002,27-03-2025,1,Digital_API,28
TXN33068,P002,06-01-2025,0,Digital_API,5
TXN66572,P002,16-03-2025,1,Manual_Email,71
TXN14705,P002,27-01-2025,0,Digital_API,45
TXN67822,P002,06-02-2025,0,Manual_Email,62
TXN37027,P002,23-02-2025,0,Digital_API,42
TXN54741,P002,15-01-2025,0,Manual_Email,54
TXN98485,P002,18-03-2025,1,Digital_API,15
TXN67370,P002,12-02-2025,1,Digital_API,5
TXN24094,P002,16-01-2025,0,Digital_API,35
TXN39821,P002,29-03-2025,1,Digital_API,36
TXN28579,P002,16-01-2025,1,Manual_Email,34
TXN44956,P002,09-03-2025,1,Digital_API,29
TXN52156,P002,12-03-2025,1,Digital_API,26
TXN61403,P002,03-03-2025,1,Manual_Email,30
TXN29386,P002,20-03-2025,0,Digital_API,36
TXN35577,P002,20-01-2025,0,Manual_Email,57
TXN16173,P003,17-03-2025,0,Manual_Email,23
TXN84474,P003,25-03-2025,0,Manual_Email,30
TXN43144,P003,26-02-2025,0,Manual_Email,46
TXN59576,P003,16-02-2025,0,Manual_Email,19
TXN44577,P003,04-03-2025,0,Manual_Email,55
TXN66873,P003,16-03-2025,0,Manual_Email,71
TXN85523,P003,14-03-2025,0,Manual_Email,41
TXN45288,P003,30-03-2025,0,Digital_API,43
TXN95061,P003,21-01-2025,0,Manual_Email,42
TXN63927,P003,06-01-2025,0,Manual_Email,14
TXN48326,P003,03-02-2025,0,Manual_Email,53
TXN29953,P003,27-01-2025,1,Manual_Email,45
TXN98549,P003,12-03-2025,0,Manual_Email,47
TXN49362,P003,16-03-2025,0,Manual_Email,70
TXN75409,P003,11-03-2025,1,Manual_Email,16
TXN36664,P003,05-02-2025,0,Manual_Email,44
TXN42026,P003,17-02-2025,0,Manual_Email,57
TXN63076,P003,24-02-2025,0,Manual_Email,66
TXN87760,P003,11-01-2025,0,Manual_Email,43
TXN93357,P003,24-03-2025,0,Manual_Email,67
TXN15054,P003,01-01-2025,0,Manual_Email,61
TXN94031,P003,13-01-2025,0,Manual_Email,14
TXN77446,P003,01-04-2025,0,Manual_Email,39
TXN94103,P003,12-02-2025,0,Manual_Email,36
TXN71015,P003,17-01-2025,0,Manual_Email,51
TXN90760,P003,28-02-2025,0,Manual_Email,44
TXN70736,P003,09-02-2025,0,Manual_Email,66
TXN91065,P003,28-01-2025,0,Manual_Email,60
TXN93765,P003,23-03-2025,0,Manual_Email,20
TXN80283,P003,24-01-2025,1,Manual_Email,39
TXN77081,P003,21-02-2025,1,Manual_Email,60
TXN69192,P003,18-02-2025,0,Manual_Email,18
TXN24075,P003,28-03-2025,0,Manual_Email,72
TXN75974,P003,12-01-2025,0,Manual_Email,33
TXN20076,P003,13-02-2025,0,Digital_API,47
TXN84366,P003,09-03-2025,0,Manual_Email,13
TXN24123,P003,15-01-2025,0,Manual_Email,49
TXN76690,P003,01-03-2025,0,Manual_Email,52
TXN60694,P003,27-01-2025,0,Manual_Email,30
TXN26257,P003,16-02-2025,0,Manual_Email,72
TXN66908,P003,06-03-2025,0,Manual_Email,70
TXN11639,P003,31-01-2025,0,Manual_Email,70
TXN67812,P003,09-03-2025,0,Manual_Email,17
TXN62853,P003,17-01-2025,0,Manual_Email,17
TXN39337,P003,24-01-2025,0,Manual_Email,51
TXN94667,P003,02-03-2025,1,Manual_Email,64
TXN32214,P003,05-02-2025,1,Manual_Email,57
TXN55213,P003,21-01-2025,0,Manual_Email,64
TXN98840,P003,03-01-2025,0,Manual_Email,19
TXN55229,P003,24-03-2025,0,Manual_Email,31
TXN83407,P003,05-01-2025,0,Digital_API,24
TXN27336,P003,17-01-2025,0,Manual_Email,28
TXN84241,P003,06-03-2025,0,Manual_Email,48
TXN68539,P003,25-01-2025,0,Digital_API,23
TXN77555,P003,28-02-2025,0,Manual_Email,52
TXN52533,P003,19-03-2025,0,Manual_Email,13
TXN67863,P003,05-02-2025,0,Manual_Email,20
TXN62322,P003,25-03-2025,0,Manual_Email,13
TXN49797,P003,09-03-2025,1,Manual_Email,22
TXN80449,P003,25-02-2025,0,Manual_Email,35
TXN64040,P004,01-04-2025,0,Digital_API,32
TXN96469,P004,10-01-2025,0,Digital_API,29
TXN23007,P004,05-01-2025,0,Digital_API,34
TXN40772,P004,19-03-2025,0,Manual_Email,63
TXN13646,P004,24-03-2025,0,Manual_Email,20
TXN52635,P004,09-01-2025,0,Manual_Email,64
TXN63951,P004,13-02-2025,1,Digital_API,10
TXN42903,P004,12-03-2025,0,Digital_API,44
TXN99251,P004,27-03-2025,0,Manual_Email,42
TXN37880,P004,11-03-2025,0,Manual_Email,29
TXN51258,P004,13-01-2025,1,Digital_API,29
TXN48139,P004,11-02-2025,0,Manual_Email,51
TXN43498,P004,17-01-2025,1,Manual_Email,39
TXN79453,P004,05-02-2025,0,Manual_Email,60
TXN79977,P004,21-03-2025,1,Digital_API,24
TXN96685,P004,13-03-2025,0,Digital_API,33
TXN18066,P004,12-02-2025,0,Manual_Email,44
TXN27458,P004,31-03-2025,0,Manual_Email,48
TXN21215,P004,23-02-2025,0,Manual_Email,55
TXN43971,P004,05-01-2025,0,Manual_Email,12
TXN39755,P004,28-01-2025,1,Digital_API,18
TXN42255,P004,29-01-2025,0,Manual_Email,50
TXN10999,P004,06-02-2025,0,Digital_API,7
TXN96300,P004,23-01-2025,0,Manual_Email,22
TXN60333,P004,11-01-2025,0,Manual_Email,22
TXN70912,P004,26-01-2025,1,Manual_Email,35
TXN94104,P004,14-01-2025,1,Manual_Email,30
TXN80482,P004,28-03-2025,0,Manual_Email,25
TXN42211,P004,26-03-2025,0,Digital_API,45
TXN30925,P004,15-03-2025,0,Manual_Email,14
TXN34629,P004,21-03-2025,1,Digital_API,45
TXN61359,P004,17-02-2025,0,Digital_API,48
TXN73115,P004,26-02-2025,0,Manual_Email,12
TXN34128,P004,29-01-2025,0,Digital_API,35
TXN33045,P004,01-04-2025,0,Manual_Email,47
TXN80732,P004,08-03-2025,1,Manual_Email,44
TXN12932,P004,04-02-2025,0,Manual_Email,63
TXN33020,P004,10-02-2025,1,Manual_Email,19
TXN18599,P004,24-03-2025,1,Digital_API,45
TXN83822,P004,02-02-2025,0,Manual_Email,52
TXN26410,P004,14-02-2025,1,Digital_API,28
TXN68573,P004,21-03-2025,1,Manual_Email,51
TXN42903,P004,17-01-2025,1,Digital_API,24
TXN94453,P005,31-01-2025,0,Manual_Email,52
TXN61832,P005,21-01-2025,0,Manual_Email,40
TXN17045,P005,28-02-2025,0,Manual_Email,52
TXN76087,P005,04-01-2025,0,Manual_Email,19
TXN93350,P005,24-02-2025,0,Manual_Email,55
TXN69902,P005,08-01-2025,0,Manual_Email,39
TXN46032,P005,31-01-2025,0,Manual_Email,72
TXN19686,P005,11-03-2025,0,Manual_Email,41
TXN51438,P005,01-01-2025,0,Manual_Email,51
TXN28728,P005,30-01-2025,0,Manual_Email,43
TXN75071,P005,01-04-2025,0,Manual_Email,68
TXN42907,P005,24-02-2025,0,Manual_Email,55
TXN56924,P005,23-01-2025,0,Manual_Email,45
TXN45472,P005,08-03-2025,0,Manual_Email,44
TXN24550,P005,23-02-2025,0,Manual_Email,61
TXN35372,P005,17-02-2025,0,Manual_Email,30
TXN58645,P005,07-03-2025,0,Manual_Email,31
TXN71306,P005,25-01-2025,0,Manual_Email,66
TXN35883,P005,12-03-2025,0,Manual_Email,47
TXN66062,P005,03-03-2025,0,Manual_Email,53
TXN73841,P005,21-01-2025,0,Manual_Email,46
TXN63100,P005,03-03-2025,0,Manual_Email,56
TXN35203,P005,20-02-2025,0,Manual_Email,15
TXN56741,P005,30-03-2025,0,Manual_Email,16
TXN88997,P005,30-01-2025,0,Manual_Email,14
TXN93990,P005,22-02-2025,0,Manual_Email,21
TXN38016,P005,02-03-2025,0,Manual_Email,28
TXN70804,P005,14-03-2025,0,Manual_Email,14
TXN73998,P005,26-03-2025,0,Manual_Email,29
TXN62075,P005,23-02-2025,0,Manual_Email,61
TXN99440,P005,21-01-2025,0,Manual_Email,42
TXN55385,P005,21-03-2025,0,Manual_Email,65
TXN40057,P005,26-01-2025,0,Manual_Email,56
TXN26009,P005,05-01-2025,0,Manual_Email,28
TXN45250,P005,23-02-2025,0,Manual_Email,45
TXN39812,P005,25-02-2025,0,Manual_Email,29
TXN55064,P005,09-03-2025,0,Manual_Email,38
TXN96154,P005,12-03-2025,0,Manual_Email,72
TXN69400,P005,03-01-2025,0,Manual_Email,20
TXN75666,P005,29-03-2025,0,Manual_Email,43
TXN67568,P005,03-02-2025,0,Manual_Email,20
TXN84801,P005,20-01-2025,0,Manual_Email,28
TXN76785,P005,12-01-2025,0,Manual_Email,15
TXN31063,P005,15-03-2025,0,Manual_Email,14
TXN37659,P005,10-01-2025,0,Manual_Email,71
TXN62524,P005,05-02-2025,0,Manual_Email,35
TXN13683,P005,09-02-2025,0,Manual_Email,24
TXN99024,P005,02-02-2025,1,Manual_Email,16
TXN50975,P005,01-01-2025,0,Manual_Email,21
TXN10612,P005,18-01-2025,0,Manual_Email,51
TXN41972,P005,22-02-2025,0,Manual_Email,31
TXN51380,P005,18-02-2025,0,Manual_Email,65
TXN84297,P005,24-03-2025,0,Manual_Email,13
TXN60401,P005,25-02-2025,0,Manual_Email,45
TXN11934,P005,18-01-2025,0,Manual_Email,43
TXN26903,P005,04-02-2025,0,Manual_Email,44
TXN54536,P005,16-02-2025,0,Manual_Email,59
TXN89995,P005,21-03-2025,0,Manual_Email,30
TXN60956,P005,07-02-2025,0,Manual_Email,53
TXN51161,P005,21-03-2025,0,Manual_Email,37
TXN30193,P005,20-02-2025,0,Manual_Email,19
TXN39424,P005,11-01-2025,0,Manual_Email,34
TXN86640,P005,11-03-2025,0,Manual_Email,30
TXN11237,P005,15-03-2025,0,Manual_Email,51
TXN58477,P005,20-01-2025,0,Manual_Email,23
TXN41836,P005,06-01-2025,0,Manual_Email,62
TXN68508,P005,01-04-2025,0,Manual_Email,48
TXN71308,P005,26-01-2025,0,Manual_Email,41
TXN84757,P005,18-02-2025,0,Manual_Email,21
TXN89350,P006,04-03-2025,1,Digital_API,29
TXN55051,P006,02-03-2025,1,Digital_API,39
TXN50451,P006,28-03-2025,1,Digital_API,29
TXN93293,P006,18-01-2025,1,Digital_API,44
TXN45630,P006,22-01-2025,1,Digital_API,15
TXN29495,P006,26-03-2025,1,Digital_API,31
TXN39934,P006,16-03-2025,1,Digital_API,7
TXN94022,P006,06-02-2025,1,Digital_API,35
TXN36280,P006,26-03-2025,1,Digital_API,35
TXN35280,P006,10-01-2025,1,Digital_API,23
TXN35745,P006,01-03-2025,1,Digital_API,23
TXN48063,P006,24-01-2025,1,Digital_API,12
TXN60269,P006,06-01-2025,1,Digital_API,23
TXN23287,P006,29-03-2025,1,Manual_Email,60
TXN96404,P006,31-03-2025,1,Digital_API,45
TXN65538,P006,18-03-2025,1,Digital_API,8
TXN48353,P006,04-03-2025,1,Manual_Email,67
TXN24302,P006,10-01-2025,1,Digital_API,12
TXN30990,P006,18-03-2025,1,Digital_API,25
TXN60893,P006,14-03-2025,1,Digital_API,47
TXN99500,P006,27-03-2025,0,Digital_API,11
TXN43082,P006,14-02-2025,1,Digital_API,38
TXN21958,P006,02-03-2025,1,Digital_API,14
TXN38150,P006,06-02-2025,1,Digital_API,25
TXN59629,P006,22-02-2025,1,Digital_API,9
TXN29679,P006,06-03-2025,1,Digital_API,22
TXN22756,P006,10-02-2025,1,Digital_API,43
TXN57075,P006,09-02-2025,1,Digital_API,33
TXN82385,P006,10-01-2025,1,Digital_API,37
TXN74708,P006,07-03-2025,1,Digital_API,13
TXN85076,P006,10-01-2025,1,Digital_API,26
TXN40433,P006,26-02-2025,1,Digital_API,39
TXN49471,P006,24-01-2025,1,Digital_API,48
TXN93454,P006,31-03-2025,1,Digital_API,26
TXN74753,P006,19-03-2025,1,Digital_API,33
TXN59426,P006,19-01-2025,1,Digital_API,44
TXN19748,P007,27-01-2025,0,Manual_Email,56
TXN54848,P007,24-01-2025,0,Manual_Email,58
TXN38502,P007,08-01-2025,0,Manual_Email,28
TXN40283,P007,16-01-2025,0,Manual_Email,26
TXN84271,P007,05-01-2025,0,Manual_Email,49
TXN81556,P007,28-01-2025,0,Manual_Email,36
TXN62944,P007,26-02-2025,0,Manual_Email,19
TXN59825,P007,25-02-2025,0,Manual_Email,12
TXN29587,P007,12-02-2025,0,Manual_Email,68
TXN88618,P007,22-03-2025,0,Manual_Email,28
TXN42669,P007,27-02-2025,0,Manual_Email,60
TXN63735,P007,09-01-2025,1,Manual_Email,48
TXN30764,P007,20-01-2025,0,Manual_Email,68
TXN95713,P007,06-02-2025,0,Manual_Email,56
TXN53892,P007,14-01-2025,0,Manual_Email,19
TXN89416,P007,05-01-2025,0,Manual_Email,19
TXN70423,P007,19-02-2025,0,Manual_Email,31
TXN58882,P008,09-01-2025,1,Digital_API,46
TXN13642,P008,28-03-2025,0,Digital_API,4
TXN44812,P008,07-02-2025,0,Digital_API,29
TXN74114,P008,04-01-2025,0,Manual_Email,40
TXN14765,P008,16-01-2025,0,Manual_Email,19
TXN95165,P008,11-01-2025,1,Digital_API,42
TXN39374,P008,12-01-2025,0,Digital_API,18
TXN14833,P008,24-02-2025,1,Digital_API,29
TXN57573,P008,09-01-2025,1,Digital_API,38
TXN18010,P008,01-04-2025,0,Digital_API,4
TXN85576,P008,12-02-2025,0,Digital_API,13
TXN87966,P008,10-01-2025,0,Digital_API,34
TXN34484,P008,05-02-2025,0,Manual_Email,60
TXN84894,P008,02-02-2025,1,Manual_Email,19
TXN42344,P008,15-03-2025,0,Manual_Email,46
TXN51646,P008,23-02-2025,0,Digital_API,31
TXN44700,P008,23-03-2025,0,Digital_API,31
TXN63486,P008,20-02-2025,1,Manual_Email,55
TXN98149,P008,23-02-2025,1,Manual_Email,18
TXN15668,P008,26-02-2025,0,Manual_Email,63
TXN12582,P008,30-03-2025,0,Digital_API,9
TXN16510,P008,26-02-2025,1,Digital_API,10
TXN44155,P008,06-02-2025,1,Digital_API,33
TXN54880,P008,31-01-2025,1,Manual_Email,68
TXN20178,P008,23-01-2025,0,Digital_API,28
TXN94520,P008,13-02-2025,0,Digital_API,41
TXN79436,P008,07-02-2025,1,Manual_Email,65
TXN22348,P008,14-03-2025,0,Manual_Email,18
TXN35562,P008,03-03-2025,1,Manual_Email,47
TXN64414,P008,24-01-2025,0,Manual_Email,61
TXN85897,P008,15-01-2025,0,Manual_Email,15
TXN98796,P008,26-02-2025,0,Manual_Email,70
TXN40158,P008,08-02-2025,0,Manual_Email,41
TXN14443,P008,10-02-2025,1,Manual_Email,59
TXN86048,P008,27-02-2025,1,Digital_API,12
TXN18852,P008,29-01-2025,0,Manual_Email,27
TXN49328,P008,31-01-2025,0,Digital_API,20
TXN56236,P008,08-01-2025,0,Digital_API,34
TXN43939,P008,27-03-2025,0,Manual_Email,57
TXN71121,P008,08-02-2025,0,Manual_Email,55
TXN17434,P008,09-03-2025,0,Manual_Email,24
TXN33121,P008,23-03-2025,1,Digital_API,4
TXN24982,P008,07-03-2025,0,Manual_Email,48
TXN72774,P008,26-01-2025,1,Manual_Email,29
TXN90346,P008,28-02-2025,1,Digital_API,36
TXN78172,P008,26-03-2025,0,Manual_Email,18
TXN70504,P008,28-03-2025,0,Digital_API,29
TXN39808,P008,19-02-2025,1,Manual_Email,31
TXN36594,P008,25-03-2025,0,Digital_API,41
TXN76067,P008,21-03-2025,0,Digital_API,20
TXN60723,P008,05-01-2025,0,Manual_Email,16
TXN77248,P008,25-03-2025,1,Digital_API,48
TXN75021,P008,20-01-2025,0,Manual_Email,67
TXN93126,P008,15-01-2025,0,Manual_Email,51
TXN51401,P008,13-02-2025,0,Manual_Email,61
TXN45625,P008,30-01-2025,0,Digital_API,29
TXN72401,P008,26-03-2025,1,Digital_API,28
TXN83163,P008,20-02-2025,0,Digital_API,17
TXN83577,P008,06-03-2025,0,Manual_Email,44
TXN40196,P008,13-03-2025,0,Digital_API,10
TXN82077,P008,02-02-2025,1,Digital_API,32
TXN11411,P008,10-02-2025,1,Digital_API,24
TXN56104,P008,08-02-2025,0,Manual_Email,63
TXN75839,P008,20-02-2025,0,Manual_Email,14
TXN82589,P008,31-03-2025,1,Manual_Email,57
TXN35504,P008,26-03-2025,0,Digital_API,39
TXN35146,P008,17-02-2025,0,Digital_API,30
TXN83507,P008,28-03-2025,0,Manual_Email,18
TXN32685,P008,28-03-2025,1,Manual_Email,67
TXN98575,P008,06-02-2025,0,Manual_Email,58
TXN54742,P008,20-03-2025,1,Manual_Email,29
TXN14988,P008,25-03-2025,1,Digital_API,23
TXN22686,P008,22-03-2025,1,Manual_Email,54
TXN94648,P008,17-02-2025,0,Manual_Email,18
TXN38560,P008,31-03-2025,0,Digital_API,7
TXN89995,P008,14-02-2025,1,Digital_API,36
TXN71935,P008,27-01-2025,1,Digital_API,28
TXN27978,P008,22-01-2025,1,Digital_API,30
TXN88656,P008,13-01-2025,1,Digital_API,26
TXN58670,P008,06-01-2025,1,Manual_Email,57
TXN38092,P008,23-01-2025,0,Manual_Email,29
TXN67435,P008,20-02-2025,1,Digital_API,12
TXN63381,P008,22-01-2025,0,Digital_API,30
TXN31281,P008,08-02-2025,1,Digital_API,26
TXN27794,P008,11-03-2025,1,Digital_API,36
TXN39366,P009,25-03-2025,0,Manual_Email,45
TXN43388,P009,09-02-2025,1,Digital_API,40
TXN37504,P009,19-02-2025,0,Digital_API,25
TXN76490,P009,07-02-2025,0,Manual_Email,51
TXN17886,P009,26-01-2025,1,Digital_API,37
TXN91444,P009,31-03-2025,0,Manual_Email,39
TXN70329,P009,12-02-2025,0,Manual_Email,21
TXN82897,P009,15-03-2025,1,Manual_Email,22
TXN95895,P009,05-02-2025,0,Digital_API,29
TXN51716,P009,25-03-2025,0,Digital_API,15
TXN96305,P009,27-01-2025,0,Digital_API,24
TXN50374,P009,08-02-2025,0,Manual_Email,58
TXN42289,P009,01-03-2025,0,Digital_API,12
TXN47721,P009,20-02-2025,0,Manual_Email,49
TXN70956,P009,28-03-2025,0,Manual_Email,62
TXN56650,P009,26-03-2025,0,Manual_Email,36
TXN83471,P009,06-02-2025,0,Manual_Email,20
TXN43862,P009,05-02-2025,0,Manual_Email,72
TXN97769,P009,26-02-2025,0,Manual_Email,38
TXN75671,P009,08-02-2025,0,Digital_API,29
TXN10713,P009,26-02-2025,0,Manual_Email,15
TXN94754,P009,26-02-2025,0,Manual_Email,69
TXN84366,P009,04-02-2025,0,Manual_Email,21
TXN54435,P009,23-02-2025,0,Manual_Email,53
TXN87393,P009,04-01-2025,0,Manual_Email,34
TXN99807,P009,27-03-2025,0,Digital_API,47
TXN42230,P009,01-02-2025,1,Manual_Email,22
TXN57922,P009,21-01-2025,1,Manual_Email,41
TXN57482,P009,12-03-2025,0,Manual_Email,45
TXN32211,P009,20-03-2025,0,Digital_API,33
TXN49661,P009,04-01-2025,0,Manual_Email,24
TXN74067,P009,04-02-2025,0,Digital_API,24
TXN48759,P009,05-01-2025,0,Digital_API,36
TXN49760,P009,15-02-2025,1,Digital_API,44
TXN42451,P009,05-03-2025,1,Manual_Email,53
TXN58009,P009,04-01-2025,1,Manual_Email,57
TXN20745,P009,28-01-2025,0,Manual_Email,14
TXN17592,P009,18-02-2025,1,Manual_Email,26
TXN87300,P009,18-03-2025,0,Manual_Email,34
TXN70578,P009,26-01-2025,1,Manual_Email,19
TXN22280,P009,18-02-2025,0,Manual_Email,67
TXN23942,P009,31-01-2025,1,Manual_Email,54
TXN55114,P009,11-03-2025,1,Digital_API,15
TXN86384,P009,03-02-2025,0,Digital_API,15
TXN84284,P009,21-02-2025,1,Digital_API,24
TXN91206,P009,23-01-2025,0,Manual_Email,39
TXN76708,P009,03-03-2025,0,Manual_Email,46
TXN27672,P009,24-01-2025,1,Manual_Email,45
TXN31418,P009,29-01-2025,0,Digital_API,12
TXN49732,P009,20-03-2025,0,Manual_Email,59
TXN98804,P009,03-03-2025,1,Digital_API,17
TXN88065,P009,04-02-2025,1,Digital_API,37
TXN35210,P009,19-01-2025,0,Manual_Email,33
TXN54753,P009,28-01-2025,0,Manual_Email,19
TXN39817,P009,06-03-2025,1,Manual_Email,28
TXN11882,P009,07-01-2025,0,Manual_Email,29
TXN90238,P009,16-03-2025,0,Manual_Email,57
TXN73092,P009,30-01-2025,0,Manual_Email,13
TXN86864,P009,23-03-2025,1,Digital_API,8
TXN61173,P009,08-02-2025,1,Manual_Email,61
TXN85171,P009,06-02-2025,0,Manual_Email,42
TXN66621,P009,17-01-2025,0,Manual_Email,47
TXN78033,P009,21-01-2025,0,Digital_API,43
TXN37958,P009,28-02-2025,1,Manual_Email,13
TXN13528,P009,13-02-2025,0,Manual_Email,15
TXN87293,P009,15-02-2025,1,Digital_API,20
TXN28324,P009,07-01-2025,0,Digital_API,22
TXN29068,P009,19-02-2025,1,Manual_Email,17
TXN77420,P009,26-02-2025,1,Manual_Email,53
TXN73622,P009,03-01-2025,1,Digital_API,5
TXN39616,P009,15-02-2025,0,Manual_Email,12
TXN98575,P009,26-01-2025,0,Manual_Email,26
TXN43285,P009,30-01-2025,1,Manual_Email,48
TXN91964,P009,15-02-2025,1,Manual_Email,72
TXN83051,P009,31-01-2025,0,Manual_Email,12
TXN48856,P009,19-02-2025,0,Digital_API,46
TXN72013,P009,18-03-2025,1,Manual_Email,60
TXN54466,P009,01-03-2025,0,Manual_Email,36
TXN36483,P009,18-01-2025,1,Manual_Email,40
TXN31106,P009,31-03-2025,1,Manual_Email,42
TXN73997,P009,07-03-2025,0,Manual_Email,19
TXN81828,P009,07-02-2025,1,Manual_Email,27
TXN43879,P009,07-01-2025,0,Manual_Email,24
TXN99949,P009,02-03-2025,0,Manual_Email,31
TXN20710,P009,02-03-2025,0,Manual_Email,20
TXN53593,P009,17-02-2025,1,Digital_API,24
TXN61747,P009,13-02-2025,0,Digital_API,32
TXN68863,P009,25-03-2025,0,Manual_Email,47
TXN34259,P009,22-02-2025,0,Manual_Email,53
TXN65461,P009,19-02-2025,0,Manual_Email,19
TXN55838,P009,24-03-2025,1,Manual_Email,25
TXN41474,P009,31-03-2025,1,Manual_Email,62
TXN55896,P009,18-02-2025,0,Manual_Email,41
TXN85213,P009,02-03-2025,1,Manual_Email,27
TXN13788,P009,02-03-2025,0,Digital_API,10
TXN88221,P009,10-03-2025,1,Digital_API,35
TXN27233,P009,22-03-2025,0,Digital_API,42
TXN56587,P009,10-03-2025,0,Manual_Email,16
TXN17970,P009,23-02-2025,0,Digital_API,17
TXN70798,P010,16-02-2025,0,Manual_Email,62
TXN94110,P010,05-02-2025,0,Manual_Email,54
TXN74006,P010,15-03-2025,0,Manual_Email,43
TXN69174,P010,08-01-2025,0,Manual_Email,72
TXN19823,P010,08-02-2025,1,Digital_API,16
TXN16363,P010,27-01-2025,0,Manual_Email,38
TXN26756,P010,11-03-2025,0,Manual_Email,72
TXN55182,P010,26-03-2025,0,Manual_Email,18
TXN96080,P010,09-01-2025,0,Manual_Email,46
TXN97574,P010,17-02-2025,0,Manual_Email,13
TXN10467,P010,04-02-2025,0,Digital_API,25
TXN39583,P010,09-02-2025,0,Manual_Email,47
TXN76959,P010,31-03-2025,0,Digital_API,9
TXN45907,P010,19-03-2025,0,Manual_Email,45
TXN53409,P010,10-01-2025,0,Manual_Email,35
TXN46575,P010,20-01-2025,0,Manual_Email,35
